Country,HS_Code,Risk_Score,Drop_Months
Belgium,11,5.9,2020-01;2020-04;2020-05;2020-09;2020-10;2020-11;2020-12;2021-02;2021-04;2021-06;2022-05;2022-09;2022-10;2022-11;2023-11;2024-01;2024-06;2024-10;2024-12;2025-02;2025-07;2025-08;2025-09;2026-01
Belgium,17,3.6,2021-09;2021-11;2021-12;2022-03;2025-05
Belgium,26,6.6,2020-01;2020-02;2021-03;2021-09;2021-10;2022-01;2022-02;2022-06;2022-08;2022-11;2023-02;2023-03;2023-04;2023-06;2023-07;2023-08;2023-09;2023-10;2024-03;2025-01;2025-02;2025-03;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12
Belgium,27,6.7,2020-04;2020-08;2020-10;2020-11;2020-12;2021-01;2021-02;2021-07;2021-09;2022-02;2022-12;2023-04;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2024-03;2024-06;2024-07;2024-10;2024-11;2025-01;2025-04;2025-05;2025-08
Belgium,31,6.5,2020-01;2020-05;2020-09;2021-02;2022-04;2022-05;2022-06;2022-08;2022-09;2022-10;2022-12;2023-01;2023-02;2023-07;2023-08;2023-11;2024-03;2024-04;2024-05;2024-06;2024-08;2025-01;2025-04;2025-09;2025-11;2026-02;2026-03
Belgium,39,4.3,2020-03;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2022-01;2022-02;2023-04;2024-03
Belgium,44,6.9,2020-01;2020-07;2020-08;2020-09;2022-09;2022-10;2022-12;2023-04;2023-06;2023-11;2024-03;2024-11;2024-12;2025-01;2025-02;2025-05;2025-06;2025-07;2025-09;2026-01;2026-02;2026-03
Belgium,72,4.5,2020-04;2021-03;2021-08;2021-09;2021-11;2021-12;2022-04;2022-07;2023-10;2024-03;2024-05;2024-06;2024-09;2024-10;2024-11;2025-04
Belgium,76,5.4,2020-03;2020-06;2020-08;2020-12;2021-10;2021-11;2022-03;2022-04;2022-09;2022-10;2023-01;2023-04;2023-07;2023-11;2025-02;2025-05;2025-06;2025-07;2025-08;2025-09;2025-12;2026-01;2026-03
Belgium,84,4.2,2020-06;2022-04;2022-06;2024-10;2024-11;2025-01;2025-05;2025-08
Belgium,93,8.9,2021-01;2022-05;2022-06;2023-04;2023-06;2023-10;2023-12;2024-05;2024-12;2025-07;2026-01
Belize,84,10.0,2020-01;2020-06;2020-10;2021-03;2021-05;2021-11;2021-12;2022-02;2022-04;2022-05;2023-01;2023-06;2023-07;2023-08;2023-09;2024-11;2024-12;2025-04;2025-07
Bermuda,84,9.4,2020-07;2021-02;2021-11;2021-12;2022-01;2022-03;2022-06;2022-07;2023-06;2023-08;2023-11;2024-03;2024-08;2025-01;2025-02;2025-07;2025-10;2025-11
Bhutan,72,5.6,2023-05;2023-07;2025-03;2025-07;2025-08;2026-02
Bolivia,9,8.8,2020-01;2020-10;2020-12;2021-01;2021-03;2021-04;2021-06;2021-08;2021-09;2022-02;2022-07;2022-11;2023-04;2023-05;2023-06;2023-08;2023-09;2023-10;2023-11;2024-01;2024-02;2024-03;2024-07;2024-12;2025-07;2025-08;2025-10;2026-01;2026-02;2026-03
Bolivia,26,5.4,2020-01;2020-05;2020-11;2021-01;2021-02;2021-09;2022-03;2022-08;2022-11;2023-02;2023-04;2023-06;2023-07;2023-09;2024-08;2024-11;2025-03;2025-07;2025-10;2025-12;2026-02
Bolivia,44,10.0,2020-01;2020-06;2020-07;2020-08;2020-09;2020-12;2021-02;2021-05;2022-04;2024-06;2025-07
Bolivia,76,6.1,2020-02;2020-04;2020-08;2021-05;2021-06;2021-11;2022-07;2022-09;2022-11;2022-12;2023-01;2023-02;2023-04;2023-08;2024-12;2025-01;2025-02;2025-05;2025-08;2025-10;2026-03
Bolivia,84,9.3,2020-01;2020-02;2021-01;2022-02;2022-06;2023-03;2023-10;2024-03;2024-06;2024-08;2024-09;2024-11;2025-02;2025-04;2025-06;2025-09;2025-10
Bosnia and Herzegovina,26,5.6,2020-09;2021-04;2021-06;2023-04;2023-07;2023-12;2024-02;2024-06;2024-07;2025-08;2025-10
Bosnia and Herzegovina,39,9.9,2020-08;2020-12;2021-03;2022-10;2023-03;2023-06;2023-10;2024-02;2024-04;2024-12;2025-07;2025-10;2025-11
Bosnia and Herzegovina,44,9.1,2020-03;2020-09;2020-10;2021-02;2021-03;2021-04;2021-12;2022-02;2022-03;2022-04;2022-05;2022-06;2022-07;2022-08;2022-09;2022-10;2022-11;2023-01;2024-04;2024-05;2025-06;2025-08;2025-12;2026-02
Bosnia and Herzegovina,76,9.1,2020-08;2020-09;2020-12;2021-02;2021-03;2021-06;2021-07;2022-01;2022-04;2022-07;2022-08;2022-09;2022-12;2023-05;2023-06;2023-11;2024-02;2024-06;2024-07;2024-10;2025-03;2025-09;2025-10;2026-01
Bosnia and Herzegovina,84,4.0,2020-01;2020-02;2020-03;2020-07;2021-01;2021-04;2021-08;2021-12;2022-09;2023-06;2023-10;2024-04;2024-05;2024-10;2024-12;2025-01
Botswana,76,10.0,2020-12;2026-03
Brazil,9,2.5,
Brazil,10,7.4,2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-12;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12;2022-01;2023-08;2024-04;2024-05;2024-06;2024-07;2025-02;2025-03;2025-04;2025-07;2025-09;2025-10;2025-11;2025-12;2026-01
Brazil,11,9.1,2020-03;2020-08;2020-11;2020-12;2021-04;2021-06;2021-07;2021-09;2021-10;2021-11;2022-01;2022-02;2022-03;2022-04;2022-05;2022-07;2022-09;2023-08;2023-12;2024-03;2024-05;2024-07;2024-09;2025-06;2025-07;2025-08;2025-10;2025-12;2026-01;2026-02
Brazil,17,4.3,2021-11;2022-02;2022-03;2022-07;2022-12;2023-04;2023-08;2024-07;2025-12;2026-01
Brazil,26,4.3,2020-03;2020-07;2020-09;2020-12;2021-08;2022-11;2024-06;2025-07
Brazil,27,5.0,2021-03;2022-04;2022-05;2022-06;2023-07;2023-11;2023-12;2024-01;2024-06;2026-03
Brazil,31,9.9,2020-03;2020-08;2020-10;2021-05;2022-09;2022-11;2023-02;2023-06;2023-10;2024-02;2024-04;2024-05;2024-08;2025-01;2025-08;2025-10;2025-11;2026-01;2026-03
Brazil,39,5.3,2020-01;2021-09;2021-10;2022-04;2022-07;2022-08;2022-09;2022-11;2023-01;2023-02;2023-03;2023-12;2024-03;2024-11;2025-12;2026-02
Brazil,44,4.2,2020-01;2023-02;2023-03;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-04;2024-05;2024-06;2024-08;2024-09;2025-08;2025-09;2026-02
Brazil,72,5.5,2020-01;2020-03;2020-10;2020-11;2020-12;2021-08;2021-09;2022-03;2022-04;2022-05;2022-07;2022-10;2022-11;2023-01;2023-02;2025-01;2025-06
Brazil,76,4.9,2020-02;2020-05;2021-07;2022-11;2024-01;2024-11;2024-12;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09
Brazil,84,5.5,2020-01;2020-04;2020-05;2020-06;2020-07;2020-10;2020-11;2020-12;2021-01;2021-07;2022-05;2022-09;2022-11;2024-06;2024-12;2025-01;2025-04;2025-07;2025-10;2026-02
Brunei Darussalam,27,7.9,2020-02;2020-04;2020-05;2020-09;2020-11;2020-12;2021-01;2021-03;2021-04;2021-06;2021-07;2021-08;2021-09;2021-10;2022-03;2022-04;2023-03;2023-04;2023-07;2023-09;2024-05;2024-06;2024-07;2024-10;2024-11;2025-01;2025-02;2025-04
Brunei Darussalam,31,10.0,2023-02;2023-05;2024-01;2024-03;2024-06;2024-10;2025-02;2025-03;2025-04;2025-05;2025-08;2025-11;2026-01
Brunei Darussalam,44,7.5,2020-01;2020-02;2020-04;2020-05;2020-09;2020-10;2020-12;2021-03;2022-01;2022-03;2022-04;2022-05;2022-07;2022-09;2022-10;2022-11;2022-12;2023-06;2023-10;2023-11;2024-02;2024-08;2025-01;2025-04;2025-05;2025-12
Brunei Darussalam,84,9.9,2020-02;2020-08;2020-09;2020-11;2021-01;2021-03;2021-06;2021-09;2021-10;2021-11;2021-12;2022-01;2022-02;2022-04;2022-05;2022-07;2023-06;2023-10;2024-03;2024-07;2025-01;2025-02;2025-06;2025-09;2025-11
Bulgaria,9,10.0,2020-04;2020-10;2020-11;2020-12;2021-04;2021-05;2021-08;2021-09;2022-07;2022-10;2023-01;2023-05;2023-06;2023-10;2023-11;2023-12;2024-01;2024-02;2025-10
Bulgaria,10,8.1,2020-04;2020-07;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2026-02
Bulgaria,17,9.8,2020-02;2020-05;2020-06;2020-07;2020-11;2021-01;2021-04;2021-08;2022-07;2023-02;2023-05;2023-11;2023-12;2024-03;2024-05;2024-07;2025-01;2025-03;2025-04;2025-06;2025-08;2025-09;2026-01
Bulgaria,26,9.4,2020-10;2023-04;2023-07;2023-08;2023-09;2024-01;2024-02;2024-10;2024-12;2025-06;2025-08;2025-09;2025-11;2026-02;2026-03
Bulgaria,27,9.9,2020-02;2020-03;2020-04;2020-05;2021-01;2021-03;2021-10;2021-12;2022-04;2022-08;2022-12;2023-03;2023-04;2023-05;2024-01;2024-11;2026-01
Bulgaria,39,6.6,2020-01;2020-03;2020-04;2020-05;2020-07;2020-08;2020-11;2020-12;2021-06;2021-09;2022-03;2022-04;2022-08;2023-01;2023-02;2023-06;2023-09;2023-11;2023-12;2024-02;2024-03;2024-06;2024-10;2025-11;2026-01
Bulgaria,44,9.9,2020-02;2020-12;2021-01;2021-03;2021-06;2021-07;2021-10;2022-04;2022-05;2022-09;2022-11;2023-07;2023-10;2024-02;2024-03;2025-01;2025-06;2025-10;2025-11
Bulgaria,76,7.1,2020-01;2020-07;2022-02;2022-04;2022-06;2022-07;2022-08;2023-01;2023-03;2023-04;2023-06;2023-07;2023-09;2023-10;2023-11;2024-08;2025-02;2025-06;2025-11;2025-12;2026-01;2026-03
Bulgaria,84,4.9,2020-01;2020-04;2020-07;2020-11;2021-11;2022-03;2022-07;2022-12;2023-02;2023-04;2023-06;2023-10;2024-01;2024-08;2025-07;2025-10
Burundi,9,9.1,2020-01;2020-07;2020-08;2020-09;2020-11;2021-01;2021-02;2021-04;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12;2022-01;2022-03;2022-04;2022-05;2022-06;2022-11;2023-06;2023-10;2023-12;2024-01;2024-02;2024-03;2024-08;2024-09;2024-11;2024-12;2025-01;2025-05;2025-06;2025-07
