Country,HS_Code,Risk_Score,Drop_Months
Malaysia,17,4.8,2022-06;2022-09;2022-12;2023-02;2023-03;2023-04;2023-05;2023-08;2024-08;2024-10;2024-12;2025-01;2025-02;2025-10
Malaysia,26,8.3,2020-04;2020-05;2020-06;2020-07;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2022-06;2022-07;2022-08;2022-10;2023-01;2023-12;2024-03;2025-01;2025-02;2025-03;2025-07;2025-08;2025-11;2026-02
Malaysia,27,3.5,2021-08;2021-12;2022-05;2024-05;2024-07
Malaysia,31,7.9,2020-01;2020-02;2020-03;2020-04;2020-05;2020-08;2021-06;2021-08;2021-09;2021-10;2021-11;2022-12;2023-02;2023-03;2023-06;2023-07;2023-09;2023-11;2024-01;2024-10;2025-02;2025-03;2025-04;2025-08;2025-09;2025-11;2026-01
Malaysia,39,2.2,
Malaysia,44,3.7,2020-06;2021-08;2021-09;2022-12;2023-02;2025-10
Malaysia,72,5.6,2020-01;2020-05;2020-06;2020-07;2020-08;2020-10;2020-11;2021-03;2021-04;2022-12;2023-01;2023-02;2023-03;2023-04;2023-05;2023-07;2024-06;2024-08;2024-09;2025-01;2025-02;2025-04;2025-05;2025-11
Malaysia,76,3.3,2023-08;2023-09;2023-10;2025-05;2025-07
Malaysia,84,3.1,2023-01
Mali,84,10.0,2020-05;2020-12;2021-07;2022-02;2022-05;2022-06;2022-11;2025-12
Malta,27,7.4,2020-04;2020-05;2021-08;2021-10;2021-11;2022-01;2022-04;2022-07;2022-08;2022-09;2024-01;2024-03;2024-05;2024-06;2024-10;2024-11;2025-01;2025-02;2025-04;2025-07;2025-11;2026-02;2026-03
Malta,39,7.1,2020-03;2020-06;2022-03;2022-04;2022-06;2022-07;2022-08;2022-09;2022-10;2022-11;2023-01;2023-02;2023-03;2023-05;2023-07;2023-12;2024-01;2024-02;2024-03;2024-05;2024-06;2024-07;2024-10;2024-11;2025-02;2025-04;2025-06;2025-11
Malta,76,9.9,2020-08;2020-12;2021-09;2022-01;2022-09;2022-10;2023-04;2023-11;2024-02;2024-10;2025-07;2025-11
Malta,84,6.3,2020-01;2020-02;2020-04;2020-06;2020-08;2020-09;2020-12;2021-05;2021-07;2021-10;2021-12;2022-05;2023-02;2023-03;2023-06;2023-07;2023-08;2023-09;2024-02;2024-04;2024-08;2024-10;2024-11;2025-01;2025-05;2025-07;2025-10;2026-02;2026-03
Marshall Islands,27,9.6,2020-03;2021-01;2021-02;2021-03;2021-04;2021-09;2022-03;2022-04;2022-05;2022-06;2022-07;2022-08;2022-10;2022-11;2022-12;2023-02;2023-05;2023-06;2023-08;2023-09;2023-10;2023-11;2024-03;2025-02;2025-05;2025-10;2025-11;2026-01;2026-03
Marshall Islands,72,9.4,2020-02;2020-06;2020-11;2020-12;2021-03;2021-04;2021-07;2022-06;2022-08;2022-09;2022-11;2023-01;2023-02;2023-03;2023-05;2023-09;2023-12;2024-01;2024-06;2024-08;2024-09;2025-02;2025-07;2025-10;2025-11;2025-12;2026-03
Marshall Islands,76,7.2,2020-09;2021-12;2022-02;2022-03;2022-04;2022-06;2023-05;2024-06;2024-08;2024-10;2025-02;2025-03;2025-09
Marshall Islands,84,6.3,2020-04;2020-08;2020-10;2021-01;2021-03;2021-04;2021-06;2021-07;2021-08;2021-10;2021-11;2021-12;2022-01;2022-04;2022-05;2022-09;2023-02;2023-03;2023-05;2023-06;2023-08;2023-10;2023-11;2023-12;2024-01;2024-04;2024-09;2025-11;2025-12;2026-01
Mauritania,26,9.9,2022-03;2022-05;2022-06;2023-07;2023-09;2024-08;2025-04;2025-06;2025-08;2025-11;2026-03
Mauritania,76,9.4,2020-05;2021-07;2021-08;2021-09;2022-11;2022-12;2023-03;2024-01;2024-05;2024-06;2024-08;2024-09;2024-10;2025-03;2025-04;2025-07;2025-11;2026-03
Mauritius,17,8.6,2020-05;2020-06;2020-07;2020-09;2020-11;2021-01;2021-02;2021-04;2021-07;2021-10;2021-12;2022-05;2022-06;2022-11;2022-12;2023-05;2023-08;2024-03;2024-09;2024-12;2025-01;2025-04;2025-11;2026-02
Mauritius,39,9.0,2020-05;2020-06;2020-10;2021-05;2021-08;2021-11;2022-02;2022-06;2022-07;2023-03;2023-04;2023-09;2023-10;2023-11;2023-12;2024-02;2024-06;2024-08;2024-11;2024-12;2025-06;2025-07;2025-10;2026-02
Mauritius,44,7.9,2020-01;2020-03;2020-06;2020-07;2020-10;2021-11;2022-02;2022-03;2022-04;2022-05;2022-07;2022-08;2022-12;2023-01;2023-04;2023-11;2024-01;2024-05;2024-06;2024-08;2024-09;2025-03;2025-04;2025-05;2025-06;2025-08;2025-10;2026-02;2026-03
Mauritius,84,9.3,2020-04;2020-10;2021-10;2021-12;2022-02;2022-04;2022-05;2023-05;2023-08;2023-09;2024-01;2024-03;2024-06;2024-10;2025-03;2025-04;2025-05;2025-07;2025-08;2025-10;2025-11
Mexico,9,7.3,2020-01;2020-03;2020-07;2021-08;2021-10;2022-03;2022-04;2022-09;2023-03;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-11;2025-02;2025-06;2025-07;2025-08;2026-01
Mexico,11,8.8,2020-02;2020-05;2020-07;2020-09;2020-10;2020-12;2021-03;2021-06;2021-08;2021-11;2022-02;2022-04;2022-05;2022-07;2022-09;2022-10;2022-12;2023-01;2023-03;2023-04;2023-05;2023-06;2023-07;2023-11;2023-12;2024-02;2024-03;2024-06;2024-09;2024-10;2025-01;2025-05;2025-08;2025-12;2026-01;2026-02
Mexico,17,3.9,2020-09;2022-06;2023-03;2024-06;2024-09;2025-03;2025-08;2025-12;2026-02
Mexico,26,4.8,2020-12;2021-05;2021-09;2021-11;2022-02;2023-08;2023-10;2024-01;2024-03;2024-06;2025-04;2025-07
Mexico,27,3.9,2022-03;2022-04;2023-06;2023-08;2023-10;2024-02;2024-09;2025-08;2026-01;2026-03
Mexico,31,7.7,2020-06;2020-07;2020-08;2021-01;2021-04;2021-05;2021-10;2021-11;2022-02;2022-04;2022-06;2022-11;2022-12;2023-03;2023-04;2023-05;2023-07;2023-08;2023-10;2024-03;2024-06;2024-07;2024-09;2025-02;2025-05;2025-08;2025-10;2025-11;2025-12;2026-01;2026-03
Mexico,39,3.5,2020-08;2025-07;2025-12;2026-02
Mexico,44,5.6,2020-07;2021-08;2021-10;2021-12;2022-01;2022-02;2022-09;2022-11;2022-12;2023-01;2023-02;2023-03;2023-07;2024-09;2025-12;2026-01;2026-02
Mexico,72,5.6,2020-01;2020-04;2021-09;2022-11;2023-03;2023-04;2023-07;2023-10;2023-12;2024-02;2024-03;2024-06;2024-07;2024-08;2024-09;2024-11;2025-01;2025-03;2025-05;2025-10;2025-11;2025-12
Mexico,76,4.8,2022-03;2022-05;2022-06;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-04;2025-01;2025-04;2025-05;2025-11
Mexico,84,3.1,2021-06;2021-11;2021-12
Micronesia,72,9.7,2020-02;2020-08;2022-05;2022-06;2022-09;2023-03;2023-07;2023-11;2024-04;2024-06;2024-09;2026-02;2026-03
Micronesia,76,8.4,2021-02;2021-05;2021-11;2022-04;2024-03;2024-04;2024-05;2024-10
Micronesia,84,10.0,2020-02;2021-03;2021-04;2021-06;2021-08;2021-09;2021-11;2022-01;2022-02;2022-03;2022-07;2022-12;2023-05;2024-07;2024-09;2025-06;2025-11;2026-01;2026-03
Moldova  Republic of,10,9.5,2023-06;2024-05;2024-07;2024-08;2024-09;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-08;2025-09
Moldova  Republic of,84,8.5,2020-02;2020-07;2020-08;2020-09;2020-11;2020-12;2021-03;2021-10;2022-01;2022-02;2022-04;2022-05;2022-06;2022-07;2022-11;2023-01;2023-02;2023-03;2023-06;2023-08;2023-09;2023-10;2024-04;2024-06;2024-07;2025-01;2025-02;2025-03;2025-06;2025-07;2026-01
Monaco,39,7.4,2020-04;2020-07;2020-10;2021-05;2021-06;2022-09;2022-10;2023-06;2023-07;2023-08;2024-01;2024-02;2024-03;2024-04;2024-06;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-08;2025-11;2025-12
Monaco,84,8.3,2020-09;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-06;2021-09;2022-05;2022-08;2023-03;2023-12;2024-01;2024-08;2024-11;2025-03;2025-04;2025-08;2025-10;2025-12;2026-01
Mongolia,9,6.7,2020-01;2020-03;2020-08;2020-09;2020-10;2020-11;2020-12;2021-02;2021-04;2021-05;2022-07;2022-08;2022-09;2022-10;2022-12;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2025-12;2026-01;2026-03
Mongolia,11,9.5,2022-01;2023-02;2023-09;2023-10;2023-11;2023-12;2024-02;2024-03;2024-04;2024-05;2024-08;2024-09;2025-01;2026-02
Mongolia,17,5.5,2020-01;2020-02;2020-03;2020-10;2022-06;2022-07;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-03;2023-05;2025-01;2025-03;2025-05;2025-07;2025-10;2025-11
Mongolia,26,6.1,2020-04;2020-07;2020-10;2021-02;2021-03;2022-09;2022-11;2023-10;2024-08;2024-09;2024-11;2024-12;2025-02;2025-03;2025-05;2025-06;2025-10;2026-02;2026-03
Mongolia,27,8.1,2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-06;2021-08;2021-11;2022-05;2023-11;2023-12;2024-01;2025-01;2025-11;2026-02
Mongolia,39,6.1,2020-02;2020-06;2020-07;2020-08;2020-09;2021-12;2022-01;2022-02;2022-08;2022-10;2022-11;2023-01;2023-02;2023-05;2023-06;2023-09;2023-11;2024-02;2024-06;2024-07;2024-12;2025-01;2025-04;2025-08
Mongolia,44,9.4,2020-03;2020-06;2020-07;2020-10;2021-11;2021-12;2022-01;2022-02;2022-03;2022-04;2022-08;2022-09;2022-10;2022-11;2023-06;2023-07;2023-10;2024-02;2024-03;2024-04;2024-05;2025-08;2025-10;2025-12;2026-01;2026-02;2026-03
Mongolia,76,7.8,2020-04;2020-08;2021-01;2021-02;2021-06;2021-10;2022-03;2022-05;2022-06;2022-08;2022-09;2022-11;2022-12;2023-01;2023-03;2023-07;2023-08;2023-10;2023-11;2024-02;2024-04;2024-10;2024-11;2024-12;2025-01;2025-02;2025-04;2025-07
Mongolia,84,7.1,2020-01;2020-03;2020-04;2020-05;2020-07;2020-08;2020-09;2020-10;2021-11;2022-01;2022-04;2022-05;2022-09;2022-10;2023-03;2023-07;2023-08;2023-11;2024-01;2024-04;2024-06;2024-08;2024-12;2025-04;2025-07;2025-09
Morocco,9,7.0,2020-06;2020-09;2020-11;2020-12;2021-02;2021-03;2021-10;2022-01;2022-04;2022-05;2022-07;2022-09;2022-11;2023-03;2023-06;2023-10;2024-01;2024-02;2024-04;2024-07;2024-09;2024-12;2025-08;2025-11;2026-02
Morocco,17,9.7,2020-08;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2022-11;2022-12;2023-03;2023-05;2023-09;2024-01;2024-02;2024-03;2024-04;2024-06;2024-07;2024-08;2024-09;2024-12;2025-02;2025-04
Morocco,26,7.9,2020-01;2020-02;2020-03;2022-06;2023-03;2023-07;2023-09;2023-11;2023-12;2024-01;2024-03;2024-05;2024-06;2024-08;2024-09;2024-10;2025-02;2026-01
Morocco,31,10.0,2020-07;2020-10;2021-01;2023-02;2023-03;2023-04;2024-01;2024-04;2024-06;2024-08;2024-10;2025-05;2025-09;2026-03
Morocco,39,6.8,2020-12;2021-01;2021-02;2021-04;2021-05;2021-09;2021-11;2022-03;2022-06;2022-07;2022-10;2022-11;2022-12;2023-02;2023-03;2023-04;2023-05;2023-06;2023-09;2023-10;2024-01;2024-03;2024-08;2024-10;2024-11;2025-05;2025-12;2026-01;2026-02
Morocco,44,8.3,2020-01;2020-03;2020-05;2020-09;2020-11;2021-02;2021-06;2021-07;2021-10;2021-11;2022-01;2022-04;2022-05;2022-08;2023-02;2023-07;2023-09;2024-07;2024-09;2024-12;2025-01;2025-02;2025-03;2025-05;2025-06;2025-08;2025-10;2025-11;2026-01;2026-03
Morocco,72,8.1,2020-01;2020-05;2020-07;2020-10;2024-08;2024-11;2024-12;2025-03
Morocco,76,7.7,2020-03;2020-07;2022-02;2022-03;2022-05;2022-06;2022-08;2023-06;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-07;2026-02
Morocco,84,6.3,2020-02;2020-04;2020-05;2021-01;2021-03;2021-10;2021-12;2022-05;2022-06;2022-07;2022-08;2022-10;2023-01;2024-04;2024-05;2024-07;2024-08;2024-11;2024-12;2025-02;2025-03;2025-06;2025-09;2025-11
Mozambique,27,5.0,2020-02;2020-04;2020-05;2020-10;2021-02;2024-07;2024-10;2025-01;2025-04;2025-05;2026-01;2026-02
Mozambique,76,8.7,2021-07;2022-01;2022-11;2023-03;2023-04;2023-06;2023-07;2023-10;2024-06;2024-08;2025-03;2025-12;2026-01;2026-03
Mozambique,84,9.9,2020-03;2020-07;2021-01;2021-04;2022-07;2025-08;2025-11;2026-01;2026-02;2026-03
Myanmar,9,8.3,2020-02;2020-05;2020-08;2021-03;2021-04;2021-06;2021-07;2021-09;2021-11;2021-12;2022-01;2022-10;2023-01;2023-05;2023-07;2023-08;2023-09;2024-06;2024-12;2025-01;2025-05;2025-07;2025-10;2026-02;2026-03
Myanmar,10,9.6,2020-03;2020-06;2020-11;2021-02;2021-06;2021-07;2021-08;2021-12;2022-01;2022-05;2022-10;2023-04;2023-12;2024-06;2025-09;2025-11;2025-12;2026-03
Myanmar,11,8.7,2020-10;2020-12;2022-09;2023-07;2023-08;2023-11;2024-03;2024-09;2025-01;2025-02;2025-07;2026-03
Myanmar,17,7.1,2020-02;2020-06;2020-10;2020-12;2021-01;2022-02;2022-04;2022-12;2023-03;2023-09;2024-01;2024-02;2024-05;2024-06;2025-04;2025-08;2025-11;2026-02
Myanmar,26,9.4,2020-05;2021-01;2021-03;2021-10;2022-08;2023-01;2023-06;2023-07;2023-10;2024-04;2024-05;2025-02;2025-03
Myanmar,27,10.0,2020-06;2020-08;2021-03;2021-11;2022-06;2022-08;2022-12;2023-03;2023-07;2023-11
Myanmar,39,4.2,2021-04;2021-05;2021-07;2021-10;2022-01;2022-03;2022-08;2023-01;2024-07
Myanmar,44,6.6,2020-07;2020-09;2021-02;2021-04;2021-05;2021-06;2021-07;2021-08;2021-10;2023-01;2023-02;2023-05;2023-06;2023-08;2023-11;2024-01;2024-10;2024-11;2025-02;2025-04;2025-05;2025-06;2025-08;2025-10;2026-01
Myanmar,76,7.6,2020-05;2021-04;2021-06;2021-07;2021-08;2021-09;2021-10;2021-12;2022-01;2022-02;2022-03;2022-07;2022-08;2022-11;2022-12;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2024-01;2024-06;2025-03;2026-02
Myanmar,84,8.6,2020-01;2020-03;2020-05;2020-06;2020-07;2020-08;2020-10;2021-01;2021-02;2021-04;2021-06;2021-07;2022-02;2022-05;2022-09;2022-11;2022-12;2023-05;2023-12;2024-01;2024-02;2024-03;2024-07;2024-09;2024-10;2025-01;2025-06;2025-07;2025-12;2026-03
Namibia,26,9.7,2020-02;2021-10;2024-02;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2025-03;2025-04;2025-05
Namibia,44,8.2,2021-10;2022-08;2022-11;2023-05;2023-09;2023-12;2024-01;2024-02;2024-03;2024-06;2024-07;2024-10;2024-11;2025-01;2025-08;2025-09;2025-12
Namibia,76,9.1,2021-01;2022-02;2024-04;2024-05;2024-06;2024-10;2024-11;2025-02;2025-03;2025-04;2025-07;2026-01
Namibia,84,9.7,2020-03;2020-07;2020-09;2020-12;2021-01;2021-03;2021-05;2021-08;2021-11;2022-06;2023-01;2023-04;2023-12;2024-07;2024-08;2024-09;2025-04;2025-11
Nepal,9,8.6,2020-03;2020-05;2020-06;2020-07;2020-09;2020-12;2021-01;2021-02;2021-10;2022-01;2022-04;2022-05;2022-09;2022-11;2023-03;2023-06;2023-07;2023-08;2023-11;2024-02;2024-03;2024-04;2024-05;2024-10;2024-12;2025-01;2025-11;2026-02
Nepal,10,8.9,2020-05;2020-10;2021-09;2022-03;2022-05;2022-11;2023-01;2023-04;2024-04;2024-06;2025-01;2025-03;2025-07;2025-08;2025-11;2026-02
Nepal,11,10.0,2021-11;2022-11;2024-02;2024-06;2024-07;2024-10;2025-08
Nepal,17,10.0,2023-10
Nepal,39,8.6,2020-02;2020-03;2020-04;2020-08;2021-09;2022-01;2022-04;2022-07;2022-09;2023-02;2023-04;2023-05;2023-06;2023-08;2023-10;2023-11;2023-12;2024-02;2025-02;2025-03;2025-04;2025-09
Nepal,44,6.6,2020-04;2020-05;2020-07;2020-08;2021-06;2021-10;2021-12;2022-02;2022-09;2022-11;2022-12;2023-04;2023-05;2023-09;2023-10;2024-02;2024-06;2024-11;2025-01;2025-02;2025-09
Nepal,76,10.0,2022-03;2022-05;2024-03
Nepal,84,8.9,2020-05;2020-08;2021-01;2021-07;2021-10;2022-04;2022-05;2022-08;2022-09;2022-12;2023-01;2023-02;2023-03;2023-04;2024-02;2024-03;2024-08;2025-01;2025-06;2025-09;2025-10;2026-03
Netherlands,9,6.6,2020-01;2020-05;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-07;2021-08;2021-11;2022-03;2022-04;2022-05;2022-06;2022-09;2022-10;2024-03;2024-06;2024-11;2025-02;2025-06;2025-11;2026-03
Netherlands,11,5.1,2020-06;2021-05;2022-01;2022-02;2022-04;2022-07;2023-03;2023-06;2023-08;2023-09;2023-12;2025-06;2025-10;2025-11;2026-01;2026-02;2026-03
Netherlands,17,4.6,2020-12;2021-04;2021-06;2021-10;2021-11;2022-02;2023-03;2023-12;2024-02;2024-05;2024-06;2024-11;2025-04;2025-08;2025-10;2026-02
Netherlands,26,7.7,2020-09;2020-12;2021-02;2021-05;2021-06;2021-07;2021-08;2021-11;2022-03;2022-04;2022-06;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02;2023-05;2023-06;2023-07;2023-12;2024-01;2024-03;2024-04;2024-05;2024-09
Netherlands,27,7.4,2020-01;2020-02;2020-03;2020-04;2020-11;2021-08;2021-12;2022-01;2022-02;2022-03;2022-05;2022-06;2022-07;2022-10;2022-11;2023-01;2023-06;2023-07;2023-08;2023-09;2023-11;2023-12;2024-02;2024-06;2025-03;2025-08;2025-09;2025-12;2026-01;2026-03
Netherlands,31,4.2,2020-02;2021-01;2022-04;2022-07;2022-08;2023-08;2023-10;2023-12;2024-01;2024-03;2025-02;2025-04;2025-12
Netherlands,39,2.9,2020-01;2022-12;2024-11
Netherlands,44,4.4,2020-01;2020-08;2021-10;2022-01;2022-03;2022-04;2022-07;2023-03;2023-05;2023-06;2023-07;2024-01;2025-06;2025-11
Netherlands,72,7.5,2020-02;2020-04;2020-05;2020-07;2020-08;2020-10;2021-10;2021-11;2021-12;2022-01;2022-02;2022-03;2022-04;2022-05;2022-06;2022-08;2023-07;2023-09;2023-11;2024-03;2024-04;2024-05;2024-06;2024-10;2024-12;2025-01;2025-02;2025-03;2025-05;2025-06;2025-08;2025-09;2025-10;2025-11;2026-01
Netherlands,76,5.5,2020-03;2020-04;2021-06;2021-08;2021-09;2021-12;2022-01;2022-05;2022-07;2022-10;2022-12;2023-02;2023-05;2023-09;2024-11;2024-12;2025-07;2025-08;2025-10
Netherlands,84,3.5,2020-04;2022-01;2024-12;2025-02
Netherlands,93,10.0,2020-03;2020-12;2021-04;2021-06;2022-03;2023-04;2023-06;2023-07;2023-10;2024-01;2024-03;2024-08;2024-09;2025-06;2025-12
New Caledonia,26,4.0,2021-02;2022-03;2022-07;2024-02;2024-06;2025-04;2026-03
New Caledonia,72,7.7,2020-06;2020-07;2020-08;2021-04;2021-07;2021-11;2022-01;2022-03;2022-06;2022-09;2022-10;2022-11;2023-04;2023-05;2023-07;2024-02;2024-03;2024-08;2024-09;2024-10;2024-11;2025-01;2025-03;2025-05;2025-06;2025-08;2025-12;2026-02
New Caledonia,76,9.3,2020-05;2021-12;2022-03;2022-05;2022-08;2023-01;2024-03;2024-11;2024-12;2025-02;2025-07;2025-08;2025-11
New Caledonia,84,10.0,2020-02;2020-03;2020-05;2020-06;2020-12;2021-09;2021-11;2022-04;2022-05;2023-04;2023-09;2023-10;2025-05;2026-01
New Zealand,9,6.7,2020-04;2020-06;2020-07;2020-08;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-07;2022-03;2022-04;2022-05;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02;2023-04;2023-06;2023-07;2023-09;2023-10;2023-11;2023-12;2024-03;2026-02
New Zealand,10,8.8,2020-10;2020-11;2020-12;2021-07;2022-04;2023-01;2023-11;2024-05;2024-09;2025-01;2025-03;2025-10;2026-02
New Zealand,11,8.9,2020-03;2020-06;2020-08;2020-11;2021-03;2021-05;2021-07;2021-12;2022-04;2022-06;2022-07;2022-09;2022-10;2022-11;2023-01;2023-12;2024-01;2024-03;2024-04;2024-07;2024-09;2024-10;2024-11;2024-12;2025-02;2025-06;2025-10;2025-11
New Zealand,17,6.4,2020-04;2020-08;2020-10;2020-12;2021-03;2021-05;2021-06;2021-07;2021-11;2021-12;2022-02;2022-10;2023-01;2023-05;2023-07;2023-12;2024-02;2024-03;2024-04;2024-09;2025-10;2025-12;2026-02
New Zealand,26,6.9,2020-02;2020-03;2020-05;2021-08;2021-09;2022-01;2022-02;2022-03;2022-06;2022-07;2022-11;2023-04;2023-07;2023-10;2023-12;2024-01;2024-02;2024-12;2025-03;2025-04;2025-07;2025-09;2025-11;2026-02;2026-03
New Zealand,27,8.2,2020-02;2020-06;2020-08;2020-12;2021-05;2021-09;2022-01;2022-04;2022-07;2022-08;2022-10;2023-02;2023-03;2023-05;2023-06;2023-12;2024-09;2024-11;2024-12;2025-01;2025-06
New Zealand,31,9.3,2021-04;2021-06;2022-03;2022-11;2022-12;2023-01;2023-02;2023-09;2024-02;2024-03;2024-10;2025-01;2025-06;2025-10;2026-02
New Zealand,39,6.5,2020-02;2020-04;2020-05;2020-07;2020-08;2020-09;2020-10;2020-11;2021-01;2021-05;2021-06;2021-10;2021-12;2022-01;2022-04;2022-07;2022-08;2023-02;2023-11;2024-04;2024-09;2024-12;2025-03;2025-05;2025-07
New Zealand,44,2.7,2024-02;2024-06
New Zealand,72,8.5,2020-04;2020-05;2020-06;2020-07;2020-08;2021-01;2021-02;2021-03;2022-04;2022-05;2022-09;2022-10;2023-01;2023-03;2023-06;2023-07;2023-08;2023-10;2023-11;2023-12;2024-01;2024-02;2024-04;2024-05;2024-06;2024-07;2024-09;2024-10;2024-11;2025-02;2025-03;2025-04;2025-08;2026-01
New Zealand,76,3.7,2020-03;2020-06;2024-09;2024-10;2025-01;2025-06;2025-08
New Zealand,84,6.3,2020-05;2020-06;2020-09;2020-11;2020-12;2021-02;2021-04;2021-07;2021-08;2021-09;2022-02;2023-05;2023-08;2024-02;2024-06;2025-04;2025-05;2025-07;2025-08;2025-09;2025-11;2026-01
Nicaragua,9,7.8,2020-01;2020-04;2020-09;2020-10;2021-02;2021-03;2021-05;2021-11;2022-01;2022-04;2022-06;2022-10;2023-02;2023-12;2024-01;2024-03;2024-05;2024-06;2024-07;2024-08;2024-09;2025-02;2025-07;2025-11;2025-12;2026-01;2026-03
Nicaragua,17,8.2,2020-12;2021-01;2021-05;2021-06;2021-07;2022-02;2022-04;2023-04;2023-05;2023-06;2023-07;2023-10;2023-11;2023-12;2024-02;2024-03;2025-04;2025-06;2026-02;2026-03
Nicaragua,39,9.0,2020-01;2020-02;2020-05;2020-06;2020-07;2020-12;2021-10;2021-11;2022-01;2022-02;2022-06;2022-09;2022-12;2023-03;2023-07;2024-10;2025-01;2025-04;2025-05;2025-10;2025-11;2025-12
Nicaragua,72,9.2,2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2023-05;2023-06;2023-11;2023-12;2024-01;2024-10
Nicaragua,76,8.1,2020-04;2020-09;2020-10;2020-11;2021-01;2021-02;2021-03;2021-06;2021-07;2021-08;2021-10;2022-11;2022-12;2023-01;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-12;2024-02;2025-06;2025-09;2025-11;2026-03
Nicaragua,84,10.0,2020-02;2021-04;2021-10;2022-11;2023-07;2023-10;2024-02;2024-11;2025-07;2025-09;2026-03
Niger,84,10.0,2021-08;2021-09;2021-11;2021-12;2022-01;2022-04;2023-03;2023-05;2023-08;2023-12;2024-10;2025-08;2026-03
Nigeria,9,8.9,2020-02;2020-03;2020-05;2020-09;2021-07;2022-02;2022-06;2022-08;2022-09;2022-10;2022-11;2022-12;2023-03;2023-04;2023-05;2023-07;2024-03;2024-07;2024-08;2024-10;2025-04;2025-07;2025-08;2025-12;2026-01;2026-03
Nigeria,11,8.4,2020-02;2021-07;2023-05;2023-06;2023-08;2024-03;2024-04;2024-05;2024-07;2024-10;2024-11;2024-12;2025-02;2025-07;2025-08;2025-09;2026-03
Nigeria,27,5.5,2020-07;2020-11;2021-04;2021-06;2021-09;2021-12;2022-02;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2024-03;2025-03;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11
Nigeria,39,9.7,2020-03;2020-06;2020-08;2021-01;2021-02;2021-09;2021-12;2023-04;2023-07;2023-08;2024-03;2024-06;2024-08;2024-10;2025-01;2025-02;2025-04;2025-09;2025-11
Nigeria,44,7.5,2020-01;2020-03;2020-04;2020-05;2020-06;2020-07;2021-05;2021-06;2021-07;2021-08;2021-10;2021-11;2021-12;2022-02;2022-07;2023-04;2023-08;2023-09;2023-12;2024-01;2024-06;2025-02;2025-04;2025-05
Nigeria,76,6.4,2020-01;2020-02;2020-03;2020-04;2020-07;2020-10;2020-11;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-11;2021-12;2022-05;2023-02;2025-01;2025-08
Nigeria,84,8.6,2020-02;2020-03;2020-04;2020-06;2020-07;2020-10;2020-11;2021-01;2021-05;2021-08;2021-09;2021-10;2022-06;2022-07;2022-08;2022-10;2023-02;2023-03;2023-11;2023-12;2024-04;2024-05;2024-08;2024-09;2025-01;2025-03;2025-04;2025-07;2025-09;2025-10;2025-11;2025-12;2026-02
Niue,39,10.0,2020-04;2020-10;2021-06;2022-03;2022-12;2023-01;2023-05;2023-06;2023-07;2023-09;2024-03;2024-10;2024-12;2025-05;2026-03
Niue,84,9.7,2020-01;2020-03;2020-05;2020-07;2020-08;2020-10;2020-12;2021-02;2021-04;2021-06;2021-09;2022-01;2022-04;2022-05;2022-07;2022-09;2022-10;2023-06;2023-08;2023-11;2023-12;2024-02;2024-03;2024-04;2024-05;2024-11;2025-01;2025-06;2025-09;2025-10
Northern Mariana Islands,27,9.8,2022-12;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2024-08
Northern Mariana Islands,72,5.1,2020-05;2020-08;2021-03;2021-09;2022-01;2022-03;2022-08;2022-11;2023-09;2024-03;2024-04;2024-11;2025-01;2025-04;2025-06;2025-07;2025-09;2025-10;2025-12
